Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,CFRUY,COST,HESAY,LVMUY,MCD,WMT,^VIX,CFRUY,COST,HESAY,LVMUY,MCD,WMT,^VIX,CFRUY,COST,HESAY,LVMUY,MCD,WMT,^VIX,CFRUY,COST,HESAY,LVMUY,MCD,WMT,^VIX,CFRUY,COST,HESAY,LVMUY,MCD,WMT,^VIX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-01,,23.34099578857422,,,16.029945373535156,10.280915260314941,20.56999969482422,,26.096819978280656,,,16.129510251631647,11.696209161241475,22.65999984741211,,21.796064045860007,,,14.005459518906493,10.013877706542358,16.469999313354492,,23.257485964643724,,,15.76443903194451,10.160748116637842,16.809999465942383,,87117200,,,125297300,452851500,0
2000-10-01,,24.468372344970703,,,16.461397171020508,9.704211235046387,23.6299991607666,,24.55188214819586,,,16.72690357700471,10.399277890589588,30.799999237060547,,19.58304885629908,,,14.636040629879119,8.862110260104345,20.40999984741211,,22.42238216595438,,,16.16270246428828,10.30571193143356,20.979999542236328,,130958400,,,84067000,652001400,0
2000-11-01,,21.796072006225586,,,16.9260311126709,11.161174774169922,29.649999618530273,,24.969446474564943,,,18.28675126094444,11.161174774169922,31.110000610351562,,21.420277661290662,,,16.262265186683802,9.102707277598657,23.510000228881836,,24.510142275200035,,,16.328641779282513,9.944807950856681,24.06999969482422,,116075600,,,74139700,589139700,0
2000-12-01,,26.6813907623291,,,18.172607421875,11.361679077148438,26.850000381469727,,27.725263640354495,,,18.439851648667283,11.963179777365342,32.31999969482422,,21.21149688147603,,,15.366543040556067,10.038378148549402,22.3799991607666,,22.21361484438041,,,17.170441571403956,11.254747251007176,28.309999465942383,,142507800,,,102846600,518363400,0
2001-01-01,,30.898637771606445,,,15.687232971191406,12.162849426269531,22.020000457763672,,30.982147603421595,,,18.740497407273125,12.580411813187858,30.799999237060547,,26.055067526327594,,,14.965673508838432,10.800418077072134,21.469999313354492,,26.723146180848815,,,18.07238698277141,11.37590422094933,27.93000030517578,,167560600,,,120591700,539777100,0
2001-02-01,,27.892284393310547,,,15.713957786560059,10.725996971130371,28.350000381469727,,30.982148233288065,,,16.56913937768663,12.162838839345204,30.6200008392334,,26.556127057104057,,,15.473438633073485,10.289162401867168,20.219999313354492,,30.64810889923644,,,15.767406827153405,12.162838839345204,22.389999389648438,,93210000,,,93721300,410850600,0
2001-03-01,,26.22208023071289,,,14.190659523010254,10.813796997070312,28.639999389648438,,28.800445603716906,,,15.756709915773618,11.113585778061335,35.45000076293945,,23.59152122667641,,,13.228581291416587,9.678884339148984,24.1200008392334,,27.641746994796073,,,15.521535871267295,10.546130368066722,29.65999984741211,,138072500,,,121917800,508343100,0
2001-04-01,,23.335975646972656,,,14.698427200317383,11.095551490783691,25.479999542236328,,26.97032074755472,,,14.938947325922939,11.430089775944037,35.20000076293945,,22.16015639043494,,,13.57065664163092,10.166989911636232,23.010000228881836,,25.929789489979456,,,14.057040878339532,10.722411643153563,29.399999618530273,,116253500,,,79874200,449230800,0
2001-05-01,,25.994937896728516,,,16.184307098388672,11.09769344329834,22.639999389648438,,26.315615314868403,,,16.54775830866888,11.741037990735926,26.489999771118164,,22.681268694098787,,,14.030318748310677,10.936857306438945,20.459999084472656,,23.409474460869856,,,14.564807081579655,11.091259850574083,25.459999084472656,,109293700,,,109702100,439709700,0
2001-06-01,,27.444677352905273,,,14.46325397491455,10.465072631835938,19.059999465942383,,29.428869585466906,,,16.275170113178632,11.247808936586248,24.420000076293945,,25.052954110531125,,,14.431184960450006,10.293514225029776,18.829999923706055,,26.195368206326958,,,16.18430705598276,11.052661095458925,23.020000457763672,,97587300,,,102637300,367112100,0
2001-07-01,,28.760787963867188,,,15.574995994567871,12.004852294921875,21.6200008392334,,29.863118855083734,,,15.767412198470037,12.133705071499998,25.610000610351562,,26.642979675861547,,,13.923426296290293,10.031245859242341,18.739999771118164,,27.56492646098728,,,14.538088943320876,10.512299747816888,19.75,,79465000,,,84387800,462081300,0
2001-08-01,,24.992807388305664,,,16.05068588256836,10.319016456604004,24.920000076293945,,29.29523042799527,,,16.56913922685628,12.191686553645681,25.84000015258789,,24.384856278909126,,,14.799983033565335,10.145064570846799,19.690000534057617,,28.84761922095791,,,15.655164616907111,11.897472143985063,20.969999313354492,,71472500,,,86142900,454365900,0
2001-09-01,,23.75687599182129,,,14.506012916564941,10.630411148071289,31.93000030517578,,26.05506546400008,,,16.499655157659564,10.727051003648905,49.349998474121094,,19.928784635981504,,,13.896696547994067,9.019742792302912,24.190000534057617,,25.086350981917068,,,16.157581934017607,10.357672027415406,26.110000610351562,,84414500,,,98907700,522983100,0
2001-10-01,,25.273426055908203,,,13.93410873413086,11.055519104003906,33.560001373291016,,27.090598934195498,,,16.088096782603643,11.77606372444408,36.95000076293945,,22.11341061050779,,,13.362206460724712,10.354332839602888,28.110000610351562,,23.569822819018153,,,14.687737096959296,10.646852134428894,33.41999816894531,,90556000,,,117467300,563800200,0
2001-11-01,,27.31106185913086,,,14.345666885375977,11.862086296081543,23.84000015258789,,29.288574481116964,,,15.232917433265893,12.096532736923647,34.56999969482422,,24.91933854922136,,,13.800488543095014,10.939359887699924,22.959999084472656,,25.38699421552684,,,13.950145642776725,11.012490557307244,33.970001220703125,,89047900,,,94387700,474203700,0
2001-12-01,,29.649314880371094,,,14.267875671386719,12.37830638885498,23.799999237060547,,30.31071095264127,,,14.941651457252926,12.634261480196177,26.3799991607666,,26.776578776347876,,,13.556368606008045,11.406109524732246,21.1200008392334,,27.15738319335589,,,14.564337634028005,11.842737639850597,25.920000076293945,,76693500,,,96335000,406805700,0
2002-01-01,,30.73162269592285,,,14.65057373046875,12.917179107666016,21.09000015258789,,30.744984576830216,,,14.812279429228546,12.917179107666017,26.8799991607666,,28.045945797978714,,,13.680336453610698,11.911456356782619,20.399999618530273,,29.529081447959943,,,14.267868735524253,12.41539475274804,23.780000686645508,,80990200,,,95464400,452494500,0
2002-02-01,,27.564931869506836,,,14.068438529968262,13.354352951049805,21.59000015258789,,31.332898675032688,,,14.796116579951152,13.54171381686395,27.31999969482422,,27.558252202442276,,,14.025316921055955,12.51230299445954,20.549999237060547,,30.51784167315574,,,14.488873959838184,12.856875551558199,21.1200008392334,,88377600,,,74377200,455066700,0
2002-03-01,,26.602874755859375,,,14.957815170288086,13.201446533203125,17.399999618530273,,28.520258550925167,,,15.66393156253105,13.76999241685461,21.1200008392334,,25.580715885588393,,,14.052260790077385,12.986089326861412,17.020000457763672,,27.60499209487522,,,14.203186862812421,13.395269497656889,21.059999465942383,,139301800,,,93600400,454030200,0
2002-04-01,,26.856760025024414,,,15.308178901672363,12.04413890838623,21.90999984741211,,28.760783001106546,,,15.73939583141372,13.335659908753476,24.5,,25.767791201738667,,,14.553550559749745,11.957893817950483,17.729999542236328,,26.369062956563333,,,14.850011363615836,13.012240511182652,18.989999771118164,,88981000,,,114502600,521707500,0
2002-05-01,,26.235441207885742,,,16.13827896118164,11.664656639099121,19.979999542236328,,27.965764506575724,,,16.55871442093907,12.78584379498707,22.709999084472656,,25.106389537511603,,,15.124919537555362,11.559007198296811,17.700000762939453,,26.729817836930277,,,15.30818664548564,11.988075963538076,21.440000534057617,,87754100,,,113627600,522541200,0
2002-06-01,,25.801204681396484,,,15.335135459899902,11.860862731933594,25.399999618530273,,27.625059650776222,,,16.407786259087924,12.695285068780814,30.979999542236328,,24.431643537560262,,,15.022503573845606,11.21186758105242,20.6200008392334,,26.248818839734323,,,16.170616923015658,11.681904079634574,20.979999542236328,,79509800,,,96118300,594247500,0
2002-07-01,,23.295900344848633,,,13.340757369995117,10.617444038391113,32.029998779296875,,26.422508433830966,,,15.426767156576542,12.240932515055706,48.459999084472656,,20.710436845753964,,,11.72369587060177,9.438687130174804,25.6299991607666,,25.74106794792275,,,15.340522930756885,11.938686932248803,25.709999084472656,,107983500,,,140932600,770620200,0
2002-08-01,,22.320505142211914,,,12.807124137878418,11.545769691467285,32.63999938964844,,24.538525812637207,,,13.658776282904267,11.828583549262806,45.209999084472656,,21.11796421403829,,,11.853057834498262,9.756044740845297,27.610000610351562,,23.095476189125357,,,13.286851939059504,10.578583308277473,32.77000045776367,,106771900,,,110828000,648445800,0
2002-09-01,,21.625699996948242,,,9.5191011428833,10.630393981933594,39.689998626708984,,23.830358503147156,,,12.71549260211477,12.305695294791102,41.86000061035156,,21.37183073154842,,,9.389736357193485,10.384279384253528,33.720001220703125,,22.14680295188049,,,12.704711946282304,11.409754403929123,37.119998931884766,,87916100,,,208693700,567858300,0
2002-10-01,,22.66790199279785,,,9.761663436889648,11.576879501342773,31.139999389648438,,24.718902628644567,,,10.753461427394516,12.543240702386234,43.439998626708984,,19.20725542090625,,,8.489574486437709,10.495937569840168,29.690000534057617,,21.679146193474114,,,9.616127627520951,10.645108382729529,37.25,,137275400,,,147656300,844116000,0
2002-11-01,,21.57894515991211,,,9.971878051757812,11.652548789978027,27.5,,23.242462526379203,,,10.61870298527395,12.149781676212594,32.599998474121094,,20.743846643286112,,,8.759082072489969,11.365017565231089,23.049999237060547,,22.561021830990178,,,9.713148489591312,11.58552971297536,31.56999969482422,,105825900,,,136786700,518123400,0
2002-12-01,,18.746286392211914,,,8.788294792175293,10.919666290283203,28.6200008392334,,23.00194791479452,,,10.47709033804929,12.266519584793349,31.200000762939453,,18.098250566321653,,,8.290947344548629,10.582413617704365,25.8700008392334,,22.066636793869016,,,10.18196053355828,12.097892629984491,28.350000381469727,,152949000,,,200320400,517866000,0
2003-01-01,,19.28742790222168,,,7.7826690673828125,10.349039077758789,31.170000076293945,,20.710434623761124,,,9.498791013605212,11.297340169057177,35.33000183105469,,18.73292276810423,,,7.602312308973671,10.158513017783298,24.020000457763672,,18.866537710799093,,,8.837483246916433,10.966084168389603,28.739999771118164,,102664400,,,171721600,531613200,0
2003-02-01,,20.389759063720703,,,7.438352108001709,10.405330657958984,29.6299991607666,,20.55677871278606,,,7.990353395371292,10.779887397745044,35.65999984741211,,18.659435397462918,,,6.979262470266629,10.013452748699853,29.059999465942383,,19.35423647496022,,,7.689758598798548,10.342543199485327,32.45000076293945,,64901700,,,110454700,441135900,0
2003-03-01,,20.062400817871094,,,7.9029035568237305,11.26485538482666,29.149999618530273,,21.03779496228219,,,8.307339712272588,11.877570832995751,34.400001525878906,,18.038122201023107,,,6.624010370096967,10.067572686648628,27.579999923706055,,20.496651653043962,,,7.569517080772681,10.522237755139107,29.780000686645508,,110479500,,,141331600,533390400,0
2003-04-01,,23.122207641601562,,,9.345763206481934,12.214717864990234,21.209999084472656,,23.52973611676241,,,9.509723543858962,12.472806370875427,30.040000915527344,,19.88202521153686,,,7.5859176305093,11.173690485127185,20.260000228881836,,20.15593741719144,,,7.979423586892013,11.299482074323796,29.579999923706055,,91514500,,,162742600,509019600,0
2003-05-01,,24.88594627380371,,,10.236613273620605,11.410088539123535,19.469999313354492,,26.068446577065853,,,10.291267051374938,12.351350379578522,22.329999923706055,,22.594434775448413,,,9.061561742855941,11.19754482231068,18.239999771118164,,22.948515880059517,,,9.318433143136964,12.21471495577015,21.350000381469727,,102462000,,,176050000,572232000,0
